BHAVA,RASI,GRAHA,LAGNA,Graha in Sign in House,Bepin’s Text,Ownership of the Graha,Sign in House,Graha in House,Graham in Sign,Ascendant of the chart in question,Line #,,,,,,,,,,,,
1,Aries,Sun,Aries Ascendant,Sun in Aries in 1,"When the SUN occupies the Ascendant, the native will surely receive political patronage and be invincible in his approach to life. His mind will be sharp with mathematical genius and superb philosophical vision; he is often famous but not often happy. He is an habitual wanderer and will seldom be able to live in peace with his spouse. There will be very few people who can establish harmonious partnerships with him.",Owns Houses 5,Aries in 1,Sun in 1,Sun in Aries,Aries Ascendant,1,,,,,,,,,,,,
1,Aries,Moon,Aries Ascendant,Moon in Aries in 1,"With the MOON in the First house, the individual will be amiable and wealthy (though finances may fluctuate). His eyes will be round and voluptuous, always longing for romantic love.",Owns Houses 4,Aries in 1,Moon in 1,Moon in Aries,Aries Ascendant,2,,,,,,,,,,,,
1,Aries,Mercury,Aries Ascendant,Mercury in Aries in 1,"The native's health may be poor during the early years when MER­CURY is in the First house. He will eat sparingly, relishing vegetables and hot meals. The individual has educational difficulties, and his upbringing lacks sophistication and culture. He may, at worst, become a thief, gambler, or liar, with an equally immoral spouse with a crooked mind. He may very likely be an atheist.",Owns Houses 3 and 6,Aries in 1,Mercury in 1,Mercury in Aries,Aries Ascendant,3,,,,,,,,,,,,
1,Aries,Venus,Aries Ascendant,Venus in Aries in 1,"The placement of VENUS in the Ascendant will give the native an attractive physical form and artistic sensitivity; but it also causes trouble. Venus is in an enemy's house (that of Mars) and becomes a death-inflict­ ing planet (lord of the Second and Seventh). Under such an influence, there will be contradictory planetary forces at work and one cannot expect a harmonious impact. Temperamentally this native has an affinity with Mars, while the Venusian influence works in an almost totally different direction. Aries will influence such an individual to work hard, strive for excellence, explore new lands, and bring forth new ideas. Venus will impel him toward luxurious living and sensual pleasures (he is likely to become involved in sexual intrigues), make him squander money, and possibly bring disgrace to his family.",Owns Houses 2 and 7,Aries in 1,Venus in 1,Venus in Aries,Aries Ascendant,4,,,,,,,,,,,,
1,Aries,Mars,Aries Ascendant,Mars in Aries in 1,"MARS in Aries occupying the Ascendant is one of the most harmoni­ous of placements. Aries and Mars radiate similar impulses which greatly enhance the possibility that the individual will express his best in the world and carve a niche for himself in society. He may have a strong constitution and courageous disposition with an urge for exploration, research and the establishment of a new social order - but be seldom lives toan advanced age. He will be known for his leadership and will be honored and respected by the state. He becomes a wealthy wanderer, moving from land to land, and is bound to leave an imprint on society.",Owns Houses 1 and 8,Aries in 1,Mars in 1,Mars in Aries,Aries Ascendant,5,,,,,,,,,,,,
1,Aries,Jupiter,Aries Ascendant,Jupiter in Aries in 1,"JUPITER in the Ascendant favors military achievement, lends a grace­ ful appearance, a learned and generous disposition, and favors devotion to religious ritual. The native is liberal in making gifts, has multiple marriages, several children, and is long lived.",Owns Houses 9 and 12,Aries in 1,Jupiter in 1,Jupiter in Aries,Aries Ascendant,6,,,,,,,,,,,,
1,Aries,Saturn,Aries Ascendant,Saturn in Aries in 1,"SATURN in this position is quite adverse. The native is often bony, depressed, suffering from melancholy, lacking in common sense, and engaged in mean or deceitful acts. He may be unfriendly, miserly and live an unconventional life. He may keep questionable company and be dishonored by the state.",Owns Houses 10 and 11,Aries in 1,Saturn in 1,Saturn in Aries,Aries Ascendant,7,,,,,,,,,,,,
1,Aries,Rahu,Aries Ascendant,Rahu in Aries in 1,RAHU'S influence resembles that of Saturn.,Owns Houses 4 and ,Aries in 1,Rahu in 1,Rahu in Aries,Aries Ascendant,8,,,,,,,,,,,,
1,Aries,Ketu,Aries Ascendant,Ketu in Aries in 1,"KETU can make its native philosophical, psychic, precocious by temperament, rugged and somewhat haggard in appearance.",Owns Houses 9 and 12,Aries in 1,Ketu in 1,Ketu in Aries,Aries Ascendant,9,,,,,,,,,,,,
1,Taurus,Sun,Taurus Ascendant,Sun in Taurus in 1,"The SUN in Taurus in the First gives a majestic appearance, though the native may suffer from eye troubles and often has marital difficulties. He acquires property and wealth through his own efforts. He may become a skilled instrumental musician.",Owns Houses 4 and ,Taurus in 1,Sun in 1,Sun in Taurus,Taurus Ascendant,10,,,,,,,,,,,,
